datetime.utc,temp,site,keep,conversion,datetime.pdt
2022-04-20 9:56,8.5,cp-high,yes,7:00,2022-04-20 2:56
2022-04-20 10:26,8.5,cp-high,yes,7:00,2022-04-20 3:26
2022-04-20 10:56,8.5,cp-high,yes,7:00,2022-04-20 3:56
2022-04-20 11:26,8.5,cp-high,yes,7:00,2022-04-20 4:26
2022-04-20 11:56,8.5,cp-high,yes,7:00,2022-04-20 4:56
2022-04-20 12:26,8.5,cp-high,yes,7:00,2022-04-20 5:26
2022-04-20 12:56,8,cp-high,yes,7:00,2022-04-20 5:56
2022-04-20 13:26,8.5,cp-high,yes,7:00,2022-04-20 6:26
2022-04-20 13:56,8.5,cp-high,yes,7:00,2022-04-20 6:56
2022-04-20 14:26,8.5,cp-high,yes,7:00,2022-04-20 7:26
2022-04-20 14:56,8.5,cp-high,yes,7:00,2022-04-20 7:56
2022-04-20 15:26,8.5,cp-high,yes,7:00,2022-04-20 8:26
2022-04-20 15:56,8.5,cp-high,yes,7:00,2022-04-20 8:56
2022-04-20 16:26,9,cp-high,yes,7:00,2022-04-20 9:26
2022-04-20 16:56,9,cp-high,yes,7:00,2022-04-20 9:56
2022-04-20 17:26,8.5,cp-high,yes,7:00,2022-04-20 10:26
2022-04-20 17:56,9,cp-high,yes,7:00,2022-04-20 10:56
2022-04-20 18:26,9.5,cp-high,yes,7:00,2022-04-20 11:26
2022-04-20 18:56,9.5,cp-high,yes,7:00,2022-04-20 11:56
2022-04-20 19:26,10,cp-high,yes,7:00,2022-04-20 12:26
2022-04-20 19:56,13.5,cp-high,yes,7:00,2022-04-20 12:56
2022-04-20 20:26,16.5,cp-high,yes,7:00,2022-04-20 13:26
2022-04-20 20:56,18,cp-high,yes,7:00,2022-04-20 13:56
2022-04-20 21:26,17,cp-high,yes,7:00,2022-04-20 14:26
2022-04-20 21:56,17,cp-high,yes,7:00,2022-04-20 14:56
2022-04-20 22:26,15.5,cp-high,yes,7:00,2022-04-20 15:26
2022-04-20 22:56,14.5,cp-high,yes,7:00,2022-04-20 15:56
2022-04-20 23:26,14,cp-high,yes,7:00,2022-04-20 16:26
2022-04-20 23:56,13.5,cp-high,yes,7:00,2022-04-20 16:56
2022-04-21 0:26,12.5,cp-high,yes,7:00,2022-04-20 17:26
2022-04-21 0:56,12,cp-high,yes,7:00,2022-04-20 17:56
2022-04-21 1:26,11,cp-high,yes,7:00,2022-04-20 18:26
2022-04-21 1:56,9,cp-high,yes,7:00,2022-04-20 18:56
2022-04-21 2:26,9,cp-high,yes,7:00,2022-04-20 19:26
2022-04-21 2:56,9,cp-high,yes,7:00,2022-04-20 19:56
2022-04-21 3:26,8.5,cp-high,yes,7:00,2022-04-20 20:26
2022-04-21 3:56,8.5,cp-high,yes,7:00,2022-04-20 20:56
2022-04-21 4:26,8.5,cp-high,yes,7:00,2022-04-20 21:26
2022-04-21 4:56,8.5,cp-high,yes,7:00,2022-04-20 21:56
2022-04-21 5:26,8.5,cp-high,yes,7:00,2022-04-20 22:26
2022-04-21 5:56,8.5,cp-high,yes,7:00,2022-04-20 22:56
2022-04-21 6:26,8.5,cp-high,yes,7:00,2022-04-20 23:26
2022-04-21 6:56,8.5,cp-high,yes,7:00,2022-04-20 23:56
2022-04-21 7:26,8.5,cp-high,yes,7:00,2022-04-21 0:26
2022-04-21 7:56,8.5,cp-high,yes,7:00,2022-04-21 0:56
2022-04-21 8:26,8.5,cp-high,yes,7:00,2022-04-21 1:26
2022-04-21 8:56,8.5,cp-high,yes,7:00,2022-04-21 1:56
2022-04-21 9:26,8.5,cp-high,yes,7:00,2022-04-21 2:26
2022-04-21 9:56,8.5,cp-high,yes,7:00,2022-04-21 2:56
2022-04-21 10:26,8.5,cp-high,yes,7:00,2022-04-21 3:26
2022-04-21 10:56,8.5,cp-high,yes,7:00,2022-04-21 3:56
2022-04-21 11:26,8.5,cp-high,yes,7:00,2022-04-21 4:26
2022-04-21 11:56,8.5,cp-high,yes,7:00,2022-04-21 4:56
2022-04-21 12:26,8.5,cp-high,yes,7:00,2022-04-21 5:26
2022-04-21 12:56,8.5,cp-high,yes,7:00,2022-04-21 5:56
2022-04-21 13:26,8.5,cp-high,yes,7:00,2022-04-21 6:26
2022-04-21 13:56,8,cp-high,yes,7:00,2022-04-21 6:56
2022-04-21 14:26,8.5,cp-high,yes,7:00,2022-04-21 7:26
2022-04-21 14:56,8.5,cp-high,yes,7:00,2022-04-21 7:56
2022-04-21 15:26,8.5,cp-high,yes,7:00,2022-04-21 8:26
2022-04-21 15:56,8.5,cp-high,yes,7:00,2022-04-21 8:56
2022-04-21 16:26,8.5,cp-high,yes,7:00,2022-04-21 9:26
2022-04-21 16:56,8.5,cp-high,yes,7:00,2022-04-21 9:56
2022-04-21 17:26,8.5,cp-high,yes,7:00,2022-04-21 10:26
2022-04-21 17:56,8.5,cp-high,yes,7:00,2022-04-21 10:56
2022-04-21 18:26,8.5,cp-high,yes,7:00,2022-04-21 11:26
2022-04-21 18:56,8.5,cp-high,yes,7:00,2022-04-21 11:56
2022-04-21 19:26,8.5,cp-high,yes,7:00,2022-04-21 12:26
2022-04-21 19:56,8.5,cp-high,yes,7:00,2022-04-21 12:56
2022-04-21 20:26,9.5,cp-high,yes,7:00,2022-04-21 13:26
2022-04-21 20:56,10,cp-high,yes,7:00,2022-04-21 13:56
2022-04-21 21:26,10.5,cp-high,yes,7:00,2022-04-21 14:26
2022-04-21 21:56,13.5,cp-high,yes,7:00,2022-04-21 14:56
2022-04-21 22:26,12,cp-high,yes,7:00,2022-04-21 15:26
2022-04-21 22:56,14,cp-high,yes,7:00,2022-04-21 15:56
2022-04-21 23:26,15.5,cp-high,yes,7:00,2022-04-21 16:26
2022-04-21 23:56,16,cp-high,yes,7:00,2022-04-21 16:56
2022-04-22 0:26,15,cp-high,yes,7:00,2022-04-21 17:26
2022-04-22 0:56,13.5,cp-high,yes,7:00,2022-04-21 17:56
2022-04-22 1:26,12.5,cp-high,yes,7:00,2022-04-21 18:26
2022-04-22 1:56,12,cp-high,yes,7:00,2022-04-21 18:56
2022-04-22 2:26,11.5,cp-high,yes,7:00,2022-04-21 19:26
2022-04-22 2:56,10.5,cp-high,yes,7:00,2022-04-21 19:56
2022-04-22 3:26,9,cp-high,yes,7:00,2022-04-21 20:26
2022-04-22 3:56,9,cp-high,yes,7:00,2022-04-21 20:56
2022-04-22 4:26,8.5,cp-high,yes,7:00,2022-04-21 21:26
2022-04-22 4:56,8.5,cp-high,yes,7:00,2022-04-21 21:56
2022-04-22 5:26,8.5,cp-high,yes,7:00,2022-04-21 22:26
2022-04-22 5:56,8.5,cp-high,yes,7:00,2022-04-21 22:56
