illumina_sample_id,sample_id,site_id,original_sample_type,updated_sample_type,keep_samples,year,month,day,SampleID,water_type,salinity_notes,aquarium_salinity,position_of_meristem,length_cm,width_cm,fouling,bleaching,recovered_bleaching,blistering,reproductive,split,flap,holes,lab_or_field_sampled,aquarium,aquarium_day,desmerestia,spad500_reading_1,spad500_reading_2,notes,N.conduct,mean.conduct,sd.conduct,N.ph,mean.ph,sd.ph,N.temp,mean.temp,sd.temp,se.conduct,lci.conduct,uci.conduct,se.temp,lci.temp,uci.temp,se.ph,lci.ph,uci.ph
meristem7-gw-2022-5-17,meristem7-gw-2022-5-17,gw,meristem,meristem,y,2022,5,17,meristem7-gw-2022-5-17,ocean,,20,submerged,79,15,med,no,,no,no,,,,field,yes,D-1,,NA,NA,,3,26.81667,0.08386497,3,8.134986,0,3,10.6,0.17320508,0.048419463,26.721765,26.91157,0.1,10.404,10.796,0.1,7.938986,8.330986
meristem7-gw-2022-5-3,meristem7-gw-2022-5-3,gw,meristem,meristem,y,2022,5,3,meristem7-gw-2022-5-3,ocean,,20,submerged,0,0,,,,,,,,,field,yes,D-1,,NA,NA,,3,27.76333,0.06806859,3,8.1382,0.002783369,3,10.3,0.1,0.03929942,27.686306,27.84036,0.05773503,10.186839,10.41316,0.05773503,8.02504,8.251361
meristem7-gw-2022-5-31,meristem7-gw-2022-5-31,gw,meristem,meristem,y,2022,5,31,meristem7-gw-2022-5-31,ocean,,20,submerged,0,0,,,,,,,,,field,yes,D-1,,NA,NA,,3,25.54333,0.306159,3,8.091598,0.008350107,3,13.83333,0.47258156,0.176760981,25.196882,25.88978,0.27284509,13.298557,14.36811,0.27284509,7.556821,8.626374
meristem7-gw-2022-6-14,meristem7-gw-2022-6-14,gw,meristem,meristem,y,2022,6,14,meristem7-gw-2022-6-14,ocean,,20,submerged,0,0,,,,,,,,,field,,D-1,,NA,NA,,3,25.66667,0.57735027,3,NA,NA,3,NA,NA,0.333333333,25.013333,26.32,NA,NA,NA,NA,NA,NA
meristem7-gw-2022-6-28,meristem7-gw-2022-6-28,gw,meristem,meristem,y,2022,6,28,meristem7-gw-2022-6-28,ocean,,20,submerged,0,0,,,,,,,,,field,,D-1,,NA,NA,,3,23.72667,0.16862187,3,8.080349,0.002783369,3,14.63333,0.15275252,0.097353879,23.535853,23.91748,0.08819171,14.460478,14.80619,0.08819171,7.907493,8.253205
meristem7-gw-2022-7-12,meristem7-gw-2022-7-12,gw,meristem,meristem,y,2022,7,12,meristem7-gw-2022-7-12,ocean,,20,submerged,0,0,,,,,,,,,field,,D-1,,NA,NA,,3,25.36,0.31432467,3,8.080349,0.002783369,3,14.7,0.17320508,0.181475435,25.004308,25.71569,0.1,14.504,14.896,0.1,7.884349,8.276349
meristem7-tb-2022-5-17,meristem7-tb-2022-5-17,tb,meristem,meristem,y,2022,5,17,meristem7-tb-2022-5-17,ocean,,NA,submerged,49,13,low,no,,no,no,,,,field,,,,NA,NA,,3,21.18,0.45033321,3,8.107668,0.005566739,3,12.63333,0.57735027,0.26,20.6704,21.6896,0.33333333,11.98,13.28667,0.33333333,7.454334,8.761001
meristem7-tb-2022-6-14,meristem7-tb-2022-6-14,tb,meristem,meristem,y,2022,6,14,meristem7-tb-2022-6-14,tidepool,,20,submerged,6.5,3,low,no,,no,no,no,no,,field,yes,D-1,,NA,NA,,3,12,0,3,NA,NA,3,NA,NA,0,12,12,NA,NA,NA,NA,NA,NA
meristem7-tb-2022-6-28,meristem7-tb-2022-6-28,tb,meristem,meristem,y,2022,6,28,meristem7-tb-2022-6-28,tidepool,,NA,submerged,11,4,low,no,,no,,,,,field,,,,NA,NA,,3,15.44,0.84504438,3,8.046602,0.005566738,3,17.36667,0.51316014,0.487886599,14.483742,16.39626,0.29627315,16.785971,17.94736,0.29627315,7.465907,8.627298
meristem7-tb-2022-7-27,meristem7-tb-2022-7-27,tb,meristem,meristem,y,2022,7,27,meristem7-tb-2022-7-27,tidepool,,NA,submerged,27,5.5,l,,,,,,,,field,,,,NA,NA,from near seawall,3,19.76333,0.70030945,3,8.001607,0.028248111,3,20.93333,2.19620886,0.404323853,18.970859,20.55581,1.26798177,18.448089,23.41858,1.26798177,5.516363,10.486851
meristem8-tb-2022-5-17,meristem8-tb-2022-5-17,tb,meristem,meristem,y,2022,5,17,meristem8-tb-2022-5-17,tidepool,,NA,submerged,79,13.5,med,yes,,no,no,,,,field,,,,NA,NA,,3,21.43333,0.2145538,3,8.081956,0.004820937,3,14.7,0.43588989,0.123872695,21.190543,21.67612,0.25166115,14.206744,15.19326,0.25166115,7.5887,8.575212
meristem8-tb-2022-5-31,meristem8-tb-2022-5-31,tb,meristem,meristem,y,2022,5,31,meristem8-tb-2022-5-31,tidepool,,NA,submerged,52,9,high,yes,,no,no,no,,,field,,,,NA,NA,,3,17.26,0.18193405,3,8.041781,0.005566738,3,17.66667,0.4163332,0.105039675,17.054122,17.46588,0.24037009,17.195541,18.13779,0.24037009,7.570656,8.512907
meristem8-tb-2022-6-28,meristem8-tb-2022-6-28,tb,meristem,meristem,y,2022,6,28,meristem8-tb-2022-6-28,tidepool,,NA,submerged,15,5,med,no,,no,,,,,field,,,,NA,NA,,3,15.44,0.84504438,3,8.046602,0.005566738,3,17.36667,0.51316014,0.487886599,14.483742,16.39626,0.29627315,16.785971,17.94736,0.29627315,7.465907,8.627298
meristem8-tb-2022-7-12,meristem8-tb-2022-7-12,tb,meristem,meristem,y,2022,7,12,meristem8-tb-2022-7-12,tidepool,,NA,submerged,8,3.5,h,yes,,,,,,,field,,,,NA,NA,,3,14.38333,0.68237331,3,7.998393,0.019483584,3,21.26667,1.56311654,0.393968414,13.611155,15.15551,0.90246576,19.497834,23.0355,0.90246576,6.22956,9.767226
meristem8-tb-2022-7-27,meristem8-tb-2022-7-27,tb,meristem,meristem,y,2022,7,27,meristem8-tb-2022-7-27,tidepool,,NA,submerged,51,5,l,,,y,,,,,field,,,,NA,NA,from near seawall,3,19.76333,0.70030945,3,8.001607,0.028248111,3,20.93333,2.19620886,0.404323853,18.970859,20.55581,1.26798177,18.448089,23.41858,1.26798177,5.516363,10.486851
meristem9-tb-2022-5-17,meristem9-tb-2022-5-17,tb,meristem,meristem,y,2022,5,17,meristem9-tb-2022-5-17,tidepool,,NA,submerged,24,13,med,no,,no,no,,,,field,,,,NA,NA,,3,21.43333,0.2145538,3,8.081956,0.004820937,3,14.7,0.43588989,0.123872695,21.190543,21.67612,0.25166115,14.206744,15.19326,0.25166115,7.5887,8.575212
meristem9-tb-2022-5-31,meristem9-tb-2022-5-31,tb,meristem,meristem,y,2022,5,31,meristem9-tb-2022-5-31,tidepool,,NA,submerged,37,7,low,no,,no,no,no,,,field,,,,NA,NA,,3,17.26,0.18193405,3,8.041781,0.005566738,3,17.66667,0.4163332,0.105039675,17.054122,17.46588,0.24037009,17.195541,18.13779,0.24037009,7.570656,8.512907
meristem9-tb-2022-6-14,meristem9-tb-2022-6-14,tb,meristem,meristem,y,2022,6,14,meristem9-tb-2022-6-14,tidepool,,20,submerged,22.5,6,low,no,,no,no,no,no,,field,yes,D-1,,NA,NA,,3,12,0,3,NA,NA,3,NA,NA,0,12,12,NA,NA,NA,NA,NA,NA
meristem9-tb-2022-6-28,meristem9-tb-2022-6-28,tb,meristem,meristem,y,2022,6,28,meristem9-tb-2022-6-28,tidepool,,NA,submerged,18,21,med,no,,no,,,,,field,,,,NA,NA,,3,15.44,0.84504438,3,8.046602,0.005566738,3,17.36667,0.51316014,0.487886599,14.483742,16.39626,0.29627315,16.785971,17.94736,0.29627315,7.465907,8.627298
meristem9-tb-2022-7-12,meristem9-tb-2022-7-12,tb,meristem,meristem,y,2022,7,12,meristem9-tb-2022-7-12,ocean,,NA,submerged,19,4.5,l,,,,,,,,field,,,,NA,NA,,3,13.33667,0.37541089,3,8.020891,0.002783369,3,19.3,0,0.216743576,12.911849,13.76148,0,19.3,19.3,0,8.020891,8.020891
meristem9-tb-2022-7-27,meristem9-tb-2022-7-27,tb,meristem,meristem,y,2022,7,27,meristem9-tb-2022-7-27,tidepool,,NA,submerged,36,6.5,med,,,,,,,,field,,,,NA,NA,from near seawall,3,19.76333,0.70030945,3,8.001607,0.028248111,3,20.93333,2.19620886,0.404323853,18.970859,20.55581,1.26798177,18.448089,23.41858,1.26798177,5.516363,10.486851
plate-1-well-10H_S8,plate-1-well-10H,lhp,meristem,meristem,y,2021,4,29,meristem_3_LHP,ocean,,NA,waves,7.9,18.3,moderate,no,,,,,,,field,,,,8.2,8.8,,2,25.89,0.33941126,2,7.555,0.077781746,2,11.3,0,0.24,25.4196,26.3604,0,11.3,11.3,0,7.555,7.555
plate-1-well-11A_S9,plate-1-well-11A,scp,rock,meristem,y,2021,4,16,rock_3_SCP,ocean,,NA,,NA,NA,,0,,,,,,,field,,,,NA,NA,,3,27.19667,0.13316656,3,8.02,0.07,3,10.54333,0.05131601,0.076883751,27.045975,27.34736,0.02962732,10.485264,10.6014,0.02962732,7.96193,8.07807
