First,phylum,class,family,genus,Park,Schenk,Davis,King,Staufenberger,Wiese,Tourneroche,Liu,BD
Davis,Proteobacteria,Gammaproteobacteria,Porticoccaceae,Porticoccus,,,TRUE,,,,,,
BD,Bacteroidetes,Saprospiria,Saprospiraceae,Portibacter,,,,,,,,,TRUE
BD,Proteobacteria,Alphaproteobacteria,Ahrensiaceae,Pseudahrensia,,,,,,,,,TRUE
Wiese,Proteobacteria,Gammaproteobacteria,Pseudoalteromonadaceae,Pseudoalteromonas,,TRUE,,,,TRUE,,,
Staufenberger,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,,,,,TRUE,TRUE,,,
Staufenberger,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Psychroflexus,,,,,TRUE,,,,
Liu,Proteobacteria,Gammaproteobacteria,Psychromonadaceae,Psychromonas,,,,,,,,TRUE,
Tourneroche,Bacteroidetes,Cytophagia,Flammeovirgaceae,Reichenbachiella,,,,,,,TRUE,,TRUE
Schenk,Proteobacteria,Gammaproteobacteria,Chromatiaceae,Rheinheimera,,TRUE,,,,,,,
core?,Proteobacteria,Alphaproteobacteria,Hyphomonadaceae,Robiginitomaculum,,TRUE,,TRUE,,,TRUE,,TRUE
Davis,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiaceae,Roseibacillus,,TRUE,TRUE,,,,,,
BD,Bacteroidetes,Saprospiria,Saprospiraceae,Rubidimonas,,,,,,,,,TRUE
core?,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiaceae,Rubritalea,TRUE,TRUE,TRUE,,,,,TRUE,
Liu,Proteobacteria,Gammaproteobacteria,Saccharospirillaceae,Saccharospirillum,,,,,,,,TRUE,
Staufenberger,Proteobacteria,Alphaproteobacteria,Sphingomonadaceae,Sphingomonas,,,,,TRUE,,,,
BD,Firmicutes,Bacilli,Sporolactobacillaceae,Sporolactobacillus,,,,,,,,,TRUE
BD,Proteobacteria,Alphaproteobacteria,Sphingomonadaceae,Sphingorhabdus,,,,,,,,,TRUE
Wiese,Proteobacteria,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas,,,,,,TRUE,,,TRUE
Wiese,Actinobacteria,Actinomycetia,Streptomycetaceae,Streptomyces,,,,,,TRUE,,,
Wiese,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,Sulfitobacter,,TRUE,,,,TRUE,,,
BD,Actinobacteria,Acidimicrobiia,Microtrichaceae,Sva0996 marine group,,,,,,,,,TRUE
BD,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,Tateyamaria,,,,,,,,,TRUE
Schenk,Proteobacteria,Gammaproteobacteria,Oceanospirillaceae,Thalassolituus,,TRUE,,,,,,,
BD,Proteobacteria,Gammaproteobacteria,Colwelliaceae,Thalassotalea,,,,,,,TRUE,,TRUE
BD,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Tenacibaculum,,,,,,,,,TRUE
BD,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Ulvibacter,,,,,,,,,TRUE
Wiese,Proteobacteria,Gammaproteobacteria,Vibrionaceae,Vibrio,,,,,,TRUE,,,
Davis,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Wenyingzhuangia,,,TRUE,,,,,,
BD,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,Yoonia-Loktanella,TRUE,TRUE,,,,,,,TRUE
BD,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,Zobellia,,,,,,,,,TRUE
